City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,praia da vitoria,38.7333,-27.0667,22.14,68,20,4.44,PT,1717958995
119,nova sintra,14.8667,-24.7167,23.96,80,1,8.07,CV,1717958995
120,hawaiian paradise park,19.5933,-154.9731,26.04,67,75,2.57,US,1717958995
121,bongaree,-27.0797,153.1586,13.0,78,0,4.84,AU,1717958995
122,tual,-5.6667,132.75,26.61,85,34,9.44,ID,1717958995
123,korhogo,9.45,-5.6333,23.6,86,100,2.64,CI,1717958995
124,mount pearl,47.5166,-52.7813,15.81,82,100,5.66,CA,1717958906
125,kisangani,0.5167,25.2,26.34,64,100,0.91,CD,1717958995
126,bethel,41.3712,-73.414,22.63,65,100,4.63,US,1717958814
127,koulikoro,14.0,-7.75,37.41,23,100,1.25,ML,1717958995
128,alice springs,-23.7,133.8833,4.75,100,0,2.57,AU,1717958996
129,bardai,11.65,7.2333,32.19,42,49,1.77,NG,1717958996
130,port alfred,-33.5906,26.891,16.09,64,0,3.27,ZA,1717958996
131,rio gallegos,-51.6226,-69.2181,3.03,93,75,2.06,AR,1717958774
132,guayaramerin,-10.8368,-65.3614,34.03,40,40,2.57,BO,1717958996
133,mersing,2.4312,103.8405,24.95,100,40,1.54,MY,1717958996
134,usogorsk,63.4106,48.6872,11.48,84,100,1.92,RU,1717958996
135,uturoa,-16.7333,-151.4333,26.97,80,100,4.82,PF,1717958996
136,toliara,-23.35,43.6667,18.66,60,0,7.57,MG,1717958996
137,kodiak,57.79,-152.4072,7.73,93,100,11.32,US,1717958996
138,lycksele,64.5954,18.6735,8.93,87,75,3.6,SE,1717958996
139,ilulissat,69.2167,-51.1,4.01,75,40,3.09,GL,1717958868
140,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1717958829
141,farah,32.5,62.5,27.86,15,0,1.54,AF,1717958743
142,port-vila,-17.7338,168.3219,20.78,100,20,0.51,VU,1717958997
143,charters towers,-20.1,146.2667,9.5,75,5,1.27,AU,1717958997
144,glennville,31.9366,-81.9285,34.88,46,0,3.45,US,1717958997
145,cabo san lucas,22.8909,-109.9124,22.64,79,16,2.24,MX,1717958859
146,hasaki,35.7333,140.8333,18.22,91,100,3.7,JP,1717958997
147,mirpur sakro,24.5474,67.6277,29.27,75,1,6.96,PK,1717958997
148,buka,40.8108,69.1986,26.59,26,66,2.21,UZ,1717958997
149,sisophon,13.5859,102.9737,25.67,88,100,2.25,KH,1717958997
150,kurumkan,54.3,110.3,16.74,47,100,2.68,RU,1717958997
151,villa yapacani,-17.4,-63.8333,30.13,41,100,5.36,BO,1717958998
152,san patricio,28.017,-97.5169,33.97,48,47,7.12,US,1717958998
153,papao,-17.75,-149.55,25.82,82,100,8.58,PF,1717958998
154,flin flon,54.7682,-101.865,12.91,54,20,3.09,CA,1717958998
155,bronte,37.7895,14.8342,25.05,28,100,0.59,IT,1717958998
156,iqaluit,63.7506,-68.5145,4.85,52,75,5.66,CA,1717958998
157,bredasdorp,-34.5322,20.0403,10.49,90,7,1.46,ZA,1717958998
